sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,0,0.75,0.05,0.05,58
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,0,0.37,-0.27,0.27,59
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,0,-0.55,0.15,0.15,60
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,0,0.59,-0.39,0.39,61
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,0,-0.55,0.15,0.15,62
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,0,-0.3,0.1,0.1,63
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,0,-0.21,0.11,0.11,64
0.1,-1,line,0.4,data/Exp1/line/scatter/S0.1m-0.4.png,,0,-0.57,0.17,0.17,66
0.05,1,quad,0.8,data/Exp1/quad/scatter/S0.05m0.8.png,,0,0.89,-0.09,0.09,67
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,0,-0.36,0.26,0.26,68
0.1,-1,trig,0.8,data/Exp1/trig/scatter/S0.1m-0.8.png,,0,-0.89,0.09,0.09,69
0.15,1,quad,0.2,data/Exp1/quad/scatter/S0.15m0.2.png,,0,0.35,-0.15,0.15,70
0.15,1,line,0.2,data/Exp1/line/scatter/S0.15m0.2.png,,0,0.44,-0.24,0.24,71
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,0,-0.73,0.33,0.33,72
0.2,-1,line,0.1,data/Exp1/line/scatter/S0.2m-0.1.png,,0,0.35,-0.45,0.45,73
0.1,1,trig,0.8,data/Exp1/trig/scatter/S0.1m0.8.png,,0,0.86,-0.06,0.06,74
0.15,1,trig,0.8,data/Exp1/trig/scatter/S0.15m0.8.png,,0,0.91,-0.11,0.11,75
0.15,-1,quad,0.2,data/Exp1/quad/scatter/S0.15m-0.2.png,,0,-0.3,0.1,0.1,76
0.15,1,trig,0.2,data/Exp1/trig/scatter/S0.15m0.2.png,,0,0.37,-0.17,0.17,77
0.2,1,trig,0.8,data/Exp1/trig/scatter/S0.2m0.8.png,,0,0.66,0.14,0.14,78
0.05,1,quad,0.4,data/Exp1/quad/scatter/S0.05m0.4.png,,0,0.52,-0.12,0.12,79
0.1,1,quad,0.8,data/Exp1/quad/scatter/S0.1m0.8.png,,0,0.89,-0.09,0.09,80
0.1,1,trig,0.1,data/Exp1/trig/scatter/S0.1m0.1.png,,0,0.16,-0.06,0.06,81
0.05,1,quad,0.2,data/Exp1/quad/scatter/S0.05m0.2.png,,0,0.3,-0.1,0.1,82
0.15,-1,line,0.2,data/Exp1/line/scatter/S0.15m-0.2.png,,0,-0.33,0.13,0.13,83
0.2,-1,trig,0.1,data/Exp1/trig/scatter/S0.2m-0.1.png,,0,-0.5,0.4,0.4,84
