sigma,sign,type,m,src,isValidation,id,answer,error,unsignedError,index
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,11,-0.15,0.05,0.05,91
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,11,0.75,0.05,0.05,92
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,11,-0.77,-0.03,0.03,94
0.2,1,quad,0.4,data/Exp1/quad/scatter/S0.2m0.4.png,,11,0.27,0.13,0.13,93
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,11,-0.87,0.07,0.07,96
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,11,-0.86,0.06,0.06,97
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,11,-0.46,0.06,0.06,95
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,11,-0.56,0.16,0.16,98
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,11,-0.21,0.11,0.11,99
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,12,0.69,-0.29,0.29,0
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,12,-0.51,0.11,0.11,1
0.15,1,quad,0.2,data/Exp1/quad/scatter/S0.15m0.2.png,,12,0.3,-0.1,0.1,2
0.15,-1,trig,0.2,data/Exp1/trig/scatter/S0.15m-0.2.png,,12,-0.31,0.11,0.11,3
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,12,-0.57,0.17,0.17,4
0.05,-1,line,0.1,data/Exp1/line/scatter/S0.05m-0.1.png,,12,-0.17,0.07,0.07,5
0.1,-1,quad,0.2,data/Exp1/quad/scatter/S0.1m-0.2.png,,12,-0.5,0.3,0.3,6
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,12,0.36,-0.26,0.26,7
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,12,0.71,-0.31,0.31,8
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,12,-0.87,0.07,0.07,9
0.05,1,line,0.1,data/Exp1/line/scatter/S0.05m0.1.png,,12,0.12,-0.02,0.02,11
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,12,-0.87,0.07,0.07,12
0.1,-1,line,0.2,data/Exp1/line/scatter/S0.1m-0.2.png,,12,-0.46,0.26,0.26,13
0.05,1,quad,0.4,data/Exp1/quad/scatter/S0.05m0.4.png,,12,0.46,-0.06,0.06,14
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,12,-0.22,0.02,0.02,15
0.15,1,line,0.8,data/Exp1/line/scatter/S0.15m0.8.png,,12,1,-0.2,0.2,16
0.15,-1,line,0.4,data/Exp1/line/scatter/S0.15m-0.4.png,,12,-0.62,0.22,0.22,18
0.2,-1,trig,0.2,data/Exp1/trig/scatter/S0.2m-0.2.png,,12,-0.64,0.44,0.44,17
0.1,1,quad,0.1,data/Exp1/quad/scatter/S0.1m0.1.png,,12,0.21,-0.11,0.11,19
0.1,1,trig,0.8,data/Exp1/trig/scatter/S0.1m0.8.png,,12,0.86,-0.06,0.06,20
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,12,0.46,-0.06,0.06,21
0.1,1,trig,0.1,data/Exp1/trig/scatter/S0.1m0.1.png,,12,0.15,-0.05,0.05,22
0.05,1,trig,0.1,data/Exp1/trig/scatter/S0.05m0.1.png,,12,0.17,-0.07,0.07,25
0.05,1,quad,0.2,data/Exp1/quad/scatter/S0.05m0.2.png,,12,0.24,-0.04,0.04,23
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,12,-0.12,0.02,0.02,24
0.1,-1,quad,0.4,data/Exp1/quad/scatter/S0.1m-0.4.png,,12,-0.48,0.08,0.08,27
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,12,-0.47,0.37,0.37,26
0.1,1,line,0.8,data/Exp1/line/scatter/S0.1m0.8.png,,12,0.89,-0.09,0.09,28
0.15,1,quad,0.4,data/Exp1/quad/scatter/S0.15m0.4.png,,12,0.53,-0.13,0.13,29
0.2,-1,line,0.2,data/Exp1/line/scatter/S0.2m-0.2.png,,12,-0.83,0.63,0.63,30
0.2,-1,line,0.4,data/Exp1/line/scatter/S0.2m-0.4.png,,12,-0.95,0.55,0.55,31
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,12,0.84,-0.04,0.04,32
0.05,-1,trig,0.4,data/Exp1/trig/scatter/S0.05m-0.4.png,,12,-0.44,0.04,0.04,34
0.05,-1,quad,0.1,data/Exp1/quad/scatter/S0.05m-0.1.png,,12,-0.12,0.02,0.02,35
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,12,0.71,-0.61,0.61,36
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,12,0.43,-0.33,0.33,37
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,12,0.66,-0.46,0.46,38
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,12,0.54,-0.34,0.34,39
0.05,1,quad,0.1,data/Exp1/quad/scatter/S0.05m0.1.png,,12,0.23,-0.13,0.13,40
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,12,0.17,0.03,0.03,41
0.05,1,trig,0.4,data/Exp1/trig/scatter/S0.05m0.4.png,,12,0.44,-0.04,0.04,42
0.1,-1,trig,0.8,data/Exp1/trig/scatter/S0.1m-0.8.png,,12,-0.8,0,0,43
0.15,-1,trig,0.4,data/Exp1/trig/scatter/S0.15m-0.4.png,,12,-0.75,0.35,0.35,44
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,12,-1,0.2,0.2,45
0.1,1,line,0.2,data/Exp1/line/scatter/S0.1m0.2.png,,12,0.37,-0.17,0.17,46
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,12,-0.46,0.06,0.06,47
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,12,-0.83,0.43,0.43,48
0.05,-1,quad,0.2,data/Exp1/quad/scatter/S0.05m-0.2.png,,12,-0.24,0.04,0.04,49
0.2,1,trig,0.8,data/Exp1/trig/scatter/S0.2m0.8.png,,12,0.91,-0.11,0.11,50
0.1,1,quad,0.8,data/Exp1/quad/scatter/S0.1m0.8.png,,12,0.86,-0.06,0.06,51
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,12,0.21,-0.11,0.11,52
0.1,1,trig,0.4,data/Exp1/trig/scatter/S0.1m0.4.png,,12,0.57,-0.17,0.17,53
0.2,-1,quad,0.4,data/Exp1/quad/scatter/S0.2m-0.4.png,,12,-0.79,0.39,0.39,54
0.15,1,quad,0.8,data/Exp1/quad/scatter/S0.15m0.8.png,,12,0.93,-0.13,0.13,55
0.05,-1,quad,0.4,data/Exp1/quad/scatter/S0.05m-0.4.png,,12,-0.5,0.1,0.1,56
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,12,-0.46,0.36,0.36,57
0.2,-1,quad,0.2,data/Exp1/quad/scatter/S0.2m-0.2.png,,12,-0.84,0.64,0.64,58
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,12,0.68,-0.28,0.28,59
0.15,1,line,0.2,data/Exp1/line/scatter/S0.15m0.2.png,,12,0.37,-0.17,0.17,61
0.15,1,quad,0.1,data/Exp1/quad/scatter/S0.15m0.1.png,,12,0.42,-0.32,0.32,60
0.1,-1,line,0.4,data/Exp1/line/scatter/S0.1m-0.4.png,,12,-0.55,0.15,0.15,62
0.2,-1,trig,0.1,data/Exp1/trig/scatter/S0.2m-0.1.png,,12,-0.63,0.53,0.53,63
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,12,-0.64,0.54,0.54,65
0.2,1,line,0.1,data/Exp1/line/scatter/S0.2m0.1.png,,12,0.46,-0.36,0.36,66
0.2,1,line,0.4,data/Exp1/line/scatter/S0.2m0.4.png,,12,0.79,-0.39,0.39,67
0.2,-1,quad,0.8,data/Exp1/quad/scatter/S0.2m-0.8.png,,12,-0.76,-0.04,0.04,68
0.2,-1,line,0.8,data/Exp1/line/scatter/S0.2m-0.8.png,,12,-1,0.2,0.2,69
0.2,1,quad,0.1,data/Exp1/quad/scatter/S0.2m0.1.png,,12,0.76,-0.66,0.66,70
0.15,-1,line,0.2,data/Exp1/line/scatter/S0.15m-0.2.png,,12,-0.49,0.29,0.29,71
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,12,0.52,-0.32,0.32,72
0.2,1,quad,0.4,data/Exp1/quad/scatter/S0.2m0.4.png,,12,0.77,-0.37,0.37,74
0.1,-1,line,0.8,data/Exp1/line/scatter/S0.1m-0.8.png,,12,-0.77,-0.03,0.03,75
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,12,-0.33,0.23,0.23,76
0.15,-1,quad,0.8,data/Exp1/quad/scatter/S0.15m-0.8.png,,12,-0.89,0.09,0.09,77
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,12,-0.28,0.08,0.08,78
0.05,1,quad,0.8,data/Exp1/quad/scatter/S0.05m0.8.png,,12,0.77,0.03,0.03,79
0.05,1,line,0.2,data/Exp1/line/scatter/S0.05m0.2.png,,12,0.3,-0.1,0.1,81
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,12,0.95,-0.15,0.15,80
0.15,-1,trig,0.8,data/Exp1/trig/scatter/S0.15m-0.8.png,,12,-0.97,0.17,0.17,82
0.15,-1,quad,0.1,data/Exp1/quad/scatter/S0.15m-0.1.png,,12,-0.62,0.52,0.52,83
0.15,-1,quad,0.2,data/Exp1/quad/scatter/S0.15m-0.2.png,,12,-0.51,0.31,0.31,84
0.1,-1,trig,0.2,data/Exp1/trig/scatter/S0.1m-0.2.png,,12,-0.52,0.32,0.32,85
0.15,-1,line,0.8,data/Exp1/line/scatter/S0.15m-0.8.png,,12,-0.98,0.18,0.18,86
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,12,0.84,-0.04,0.04,87
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,12,-0.84,0.04,0.04,88
0.05,1,trig,0.2,data/Exp1/trig/scatter/S0.05m0.2.png,,12,0.24,-0.04,0.04,89
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,12,-0.32,0.22,0.22,90
0.15,1,trig,0.8,data/Exp1/trig/scatter/S0.15m0.8.png,,12,0.95,-0.15,0.15,91
0.1,1,trig,0.2,data/Exp1/trig/scatter/S0.1m0.2.png,,12,0.34,-0.14,0.14,92
0.15,1,line,0.4,data/Exp1/line/scatter/S0.15m0.4.png,,12,0.69,-0.29,0.29,93
0.2,-1,line,0.1,data/Exp1/line/scatter/S0.2m-0.1.png,,12,-0.54,0.44,0.44,94
0.1,1,line,0.4,data/Exp1/line/scatter/S0.1m0.4.png,,12,0.66,-0.26,0.26,95
0.15,1,trig,0.2,data/Exp1/trig/scatter/S0.15m0.2.png,,12,0.49,-0.29,0.29,96
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,12,-0.48,0.38,0.38,97
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,12,0.84,-0.04,0.04,98
0.1,-1,quad,0.8,data/Exp1/quad/scatter/S0.1m-0.8.png,,12,-0.75,-0.05,0.05,99
0.2,1,quad,0.4,data/Exp1/quad/scatter/S0.2m0.4.png,,13,0.57,-0.17,0.17,0
0.1,-1,line,0.4,data/Exp1/line/scatter/S0.1m-0.4.png,,13,-0.45,0.05,0.05,1
0.15,1,line,0.2,data/Exp1/line/scatter/S0.15m0.2.png,,13,0.44,-0.24,0.24,2
0.1,1,line,0.2,data/Exp1/line/scatter/S0.1m0.2.png,,13,0.27,-0.07,0.07,3
0.2,-1,line,0.2,data/Exp1/line/scatter/S0.2m-0.2.png,,13,-0.18,-0.02,0.02,4
0.2,-1,trig,0.2,data/Exp1/trig/scatter/S0.2m-0.2.png,,13,-0.34,0.14,0.14,5
0.1,1,line,0.4,data/Exp1/line/scatter/S0.1m0.4.png,,13,0.51,-0.11,0.11,6
0.1,1,quad,0.1,data/Exp1/quad/scatter/S0.1m0.1.png,,13,0.18,-0.08,0.08,7
0.05,-1,quad,0.1,data/Exp1/quad/scatter/S0.05m-0.1.png,,13,-0.14,0.04,0.04,8
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,13,-0.14,0.04,0.04,9
0.05,1,line,0.2,data/Exp1/line/scatter/S0.05m0.2.png,,13,0.24,-0.04,0.04,11
0.05,1,quad,0.1,data/Exp1/quad/scatter/S0.05m0.1.png,,13,0.13,-0.03,0.03,12
0.15,-1,line,0.8,data/Exp1/line/scatter/S0.15m-0.8.png,,13,-0.96,0.16,0.16,13
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,13,-0.53,0.13,0.13,14
0.15,1,line,0.4,data/Exp1/line/scatter/S0.15m0.4.png,,13,0.56,-0.16,0.16,16
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,13,-0.14,0.04,0.04,17
0.2,-1,quad,0.4,data/Exp1/quad/scatter/S0.2m-0.4.png,,13,-0.47,0.07,0.07,15
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,13,-0.08,-0.02,0.02,18
0.2,1,quad,0.1,data/Exp1/quad/scatter/S0.2m0.1.png,,13,0.31,-0.21,0.21,19
0.2,1,line,0.1,data/Exp1/line/scatter/S0.2m0.1.png,,13,0.31,-0.21,0.21,20
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,13,0.42,-0.02,0.02,21
0.15,1,quad,0.4,data/Exp1/quad/scatter/S0.15m0.4.png,,13,0.49,-0.09,0.09,22
0.15,1,trig,0.8,data/Exp1/trig/scatter/S0.15m0.8.png,,13,1,-0.2,0.2,24
0.15,-1,trig,0.8,data/Exp1/trig/scatter/S0.15m-0.8.png,,13,-0.81,0.01,0.01,25
0.1,-1,line,0.8,data/Exp1/line/scatter/S0.1m-0.8.png,,13,-0.83,0.03,0.03,26
0.15,1,quad,0.8,data/Exp1/quad/scatter/S0.15m0.8.png,,13,0.81,-0.01,0.01,27
0.15,-1,trig,0.4,data/Exp1/trig/scatter/S0.15m-0.4.png,,13,-0.56,0.16,0.16,28
0.1,-1,quad,0.2,data/Exp1/quad/scatter/S0.1m-0.2.png,,13,-0.23,0.03,0.03,29
0.1,-1,trig,0.2,data/Exp1/trig/scatter/S0.1m-0.2.png,,13,-0.25,0.05,0.05,30
0.05,1,line,0.1,data/Exp1/line/scatter/S0.05m0.1.png,,13,0.16,-0.06,0.06,31
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,13,-0.41,0.01,0.01,32
0.15,-1,quad,0.2,data/Exp1/quad/scatter/S0.15m-0.2.png,,13,-0.24,0.04,0.04,33
0.15,1,quad,0.1,data/Exp1/quad/scatter/S0.15m0.1.png,,13,0.34,-0.24,0.24,34
0.15,1,line,0.1,data/Exp1/line/scatter/S0.15m0.1.png,,13,0.28,-0.18,0.18,35
0.05,1,trig,0.1,data/Exp1/trig/scatter/S0.05m0.1.png,,13,0.15,-0.05,0.05,36
0.1,1,line,0.8,data/Exp1/line/scatter/S0.1m0.8.png,,13,0.91,-0.11,0.11,37
0.1,-1,line,0.2,data/Exp1/line/scatter/S0.1m-0.2.png,,13,-0.2,0,0,38
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,13,-0.23,0.03,0.03,39
0.05,-1,trig,0.4,data/Exp1/trig/scatter/S0.05m-0.4.png,,13,-0.45,0.05,0.05,40
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,13,0.65,-0.25,0.25,41
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,13,-0.08,-0.02,0.02,42
0.1,-1,quad,0.4,data/Exp1/quad/scatter/S0.1m-0.4.png,,13,-0.46,0.06,0.06,43
0.2,-1,quad,0.2,data/Exp1/quad/scatter/S0.2m-0.2.png,,13,-0.11,-0.09,0.09,44
0.2,-1,quad,0.8,data/Exp1/quad/scatter/S0.2m-0.8.png,,13,-0.92,0.12,0.12,47
0.1,1,trig,0.4,data/Exp1/trig/scatter/S0.1m0.4.png,,13,0.52,-0.12,0.12,45
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,13,0.43,-0.23,0.23,46
0.1,1,trig,0.8,data/Exp1/trig/scatter/S0.1m0.8.png,,13,0.92,-0.12,0.12,48
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,13,0.61,-0.41,0.41,49
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,13,-0.86,0.06,0.06,50
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,13,0.29,-0.09,0.09,51
0.1,1,trig,0.2,data/Exp1/trig/scatter/S0.1m0.2.png,,13,0.34,-0.14,0.14,52
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,13,0.21,-0.11,0.11,54
0.2,-1,trig,0.8,data/Exp1/trig/scatter/S0.2m-0.8.png,,13,-0.92,0.12,0.12,55
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,13,0.82,-0.02,0.02,56
0.05,-1,line,0.1,data/Exp1/line/scatter/S0.05m-0.1.png,,13,-0.09,-0.01,0.01,57
0.15,1,quad,0.2,data/Exp1/quad/scatter/S0.15m0.2.png,,13,0.29,-0.09,0.09,58
0.15,1,line,0.8,data/Exp1/line/scatter/S0.15m0.8.png,,13,1,-0.2,0.2,60
0.05,-1,quad,0.4,data/Exp1/quad/scatter/S0.05m-0.4.png,,13,-0.43,0.03,0.03,61
0.15,-1,line,0.2,data/Exp1/line/scatter/S0.15m-0.2.png,,13,-0.09,-0.11,0.11,62
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,13,-0.79,-0.01,0.01,63
0.2,-1,line,0.8,data/Exp1/line/scatter/S0.2m-0.8.png,,13,-0.93,0.13,0.13,64
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,13,-0.03,-0.07,0.07,65
0.05,-1,quad,0.2,data/Exp1/quad/scatter/S0.05m-0.2.png,,13,-0.23,0.03,0.03,66
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,13,0.72,0.08,0.08,68
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,13,0.2,-0.1,0.1,67
0.1,-1,trig,0.8,data/Exp1/trig/scatter/S0.1m-0.8.png,,13,-0.85,0.05,0.05,70
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,13,0.51,-0.11,0.11,69
0.15,-1,line,0.4,data/Exp1/line/scatter/S0.15m-0.4.png,,13,-0.42,0.02,0.02,71
0.2,1,line,0.4,data/Exp1/line/scatter/S0.2m0.4.png,,13,0.58,-0.18,0.18,72
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,13,-0.81,0.01,0.01,73
0.1,1,trig,0.1,data/Exp1/trig/scatter/S0.1m0.1.png,,13,0.12,-0.02,0.02,74
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,13,-0.44,0.04,0.04,75
0.2,-1,line,0.1,data/Exp1/line/scatter/S0.2m-0.1.png,,13,0.07,-0.17,0.17,76
0.1,1,quad,0.8,data/Exp1/quad/scatter/S0.1m0.8.png,,13,0.85,-0.05,0.05,77
0.05,1,quad,0.4,data/Exp1/quad/scatter/S0.05m0.4.png,,13,0.4,0,0,78
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,13,0.79,0.01,0.01,79
0.05,1,quad,0.8,data/Exp1/quad/scatter/S0.05m0.8.png,,13,0.8,0,0,80
0.15,-1,trig,0.2,data/Exp1/trig/scatter/S0.15m-0.2.png,,13,-0.14,-0.06,0.06,81
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,13,0.29,-0.09,0.09,82
0.05,1,quad,0.2,data/Exp1/quad/scatter/S0.05m0.2.png,,13,0.25,-0.05,0.05,83
0.15,1,trig,0.2,data/Exp1/trig/scatter/S0.15m0.2.png,,13,0.38,-0.18,0.18,84
0.05,1,trig,0.4,data/Exp1/trig/scatter/S0.05m0.4.png,,13,0.43,-0.03,0.03,85
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,13,-0.24,0.04,0.04,86
0.1,-1,trig,0.4,data/Exp1/trig/scatter/S0.1m-0.4.png,,13,-0.5,0.1,0.1,87
0.1,-1,quad,0.8,data/Exp1/quad/scatter/S0.1m-0.8.png,,13,-0.77,-0.03,0.03,88
0.2,1,trig,0.8,data/Exp1/trig/scatter/S0.2m0.8.png,,13,0.85,-0.05,0.05,89
0.2,-1,trig,0.1,data/Exp1/trig/scatter/S0.2m-0.1.png,,13,-0.1,0,0,90
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,13,0.17,-0.07,0.07,91
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,13,0,-0.1,0.1,92
0.15,-1,quad,0.8,data/Exp1/quad/scatter/S0.15m-0.8.png,,13,-0.87,0.07,0.07,93
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,13,0.42,-0.02,0.02,94
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,13,0.84,-0.04,0.04,95
0.15,-1,quad,0.1,data/Exp1/quad/scatter/S0.15m-0.1.png,,13,0.12,-0.22,0.22,96
0.2,-1,line,0.4,data/Exp1/line/scatter/S0.2m-0.4.png,,13,-0.5,0.1,0.1,97
0.05,1,trig,0.2,data/Exp1/trig/scatter/S0.05m0.2.png,,13,0.24,-0.04,0.04,98
0.1,-1,trig,0.1,data/Exp1/trig/scatter/S0.1m-0.1.png,,13,-0.06,-0.04,0.04,99
0.15,-1,line,0.1,data/Exp1/line/scatter/S0.15m-0.1.png,,14,-0.04,-0.06,0.06,0
0.1,-1,quad,0.8,data/Exp1/quad/scatter/S0.1m-0.8.png,,14,-0.89,0.09,0.09,1
0.2,-1,line,0.1,data/Exp1/line/scatter/S0.2m-0.1.png,,14,-0.01,-0.09,0.09,2
0.1,-1,line,0.4,data/Exp1/line/scatter/S0.1m-0.4.png,,14,-0.61,0.21,0.21,4
0.05,-1,trig,0.2,data/Exp1/trig/scatter/S0.05m-0.2.png,,14,-0.24,0.04,0.04,5
0.2,1,quad,0.2,data/Exp1/quad/scatter/S0.2m0.2.png,,14,0.61,-0.41,0.41,6
0.2,-1,quad,0.8,data/Exp1/quad/scatter/S0.2m-0.8.png,,14,-0.99,0.19,0.19,7
0.1,-1,trig,0.2,data/Exp1/trig/scatter/S0.1m-0.2.png,,14,-0.3,0.1,0.1,8
0.2,-1,line,0.8,data/Exp1/line/scatter/S0.2m-0.8.png,,14,-0.86,0.06,0.06,9
0.05,1,trig,0.8,data/Exp1/trig/scatter/S0.05m0.8.png,,14,0.8,0,0,11
0.05,-1,quad,0.2,data/Exp1/quad/scatter/S0.05m-0.2.png,,14,-0.22,0.02,0.02,10
0.05,-1,line,0.8,data/Exp1/line/scatter/S0.05m-0.8.png,,14,-0.8,0,0,12
0.15,-1,quad,0.4,data/Exp1/quad/scatter/S0.15m-0.4.png,,14,-0.58,0.18,0.18,13
0.05,-1,line,0.4,data/Exp1/line/scatter/S0.05m-0.4.png,,14,-0.43,0.03,0.03,15
0.05,1,trig,0.1,data/Exp1/trig/scatter/S0.05m0.1.png,,14,0.12,-0.02,0.02,14
0.2,1,line,0.8,data/Exp1/line/scatter/S0.2m0.8.png,,14,0.74,0.06,0.06,16
0.15,1,line,0.4,data/Exp1/line/scatter/S0.15m0.4.png,,14,0.4,0,0,17
0.15,1,line,0.2,data/Exp1/line/scatter/S0.15m0.2.png,,14,0.33,-0.13,0.13,18
0.05,1,line,0.8,data/Exp1/line/scatter/S0.05m0.8.png,,14,0.84,-0.04,0.04,19
0.2,1,trig,0.2,data/Exp1/trig/scatter/S0.2m0.2.png,,14,0.61,-0.41,0.41,20
0.05,1,line,0.4,data/Exp1/line/scatter/S0.05m0.4.png,,14,0.4,0,0,21
0.15,1,trig,0.1,data/Exp1/trig/scatter/S0.15m0.1.png,,14,0.16,-0.06,0.06,22
0.1,1,quad,0.4,data/Exp1/quad/scatter/S0.1m0.4.png,,14,0.36,0.04,0.04,24
0.2,-1,trig,0.1,data/Exp1/trig/scatter/S0.2m-0.1.png,,14,-0.16,0.06,0.06,25
0.2,-1,trig,0.4,data/Exp1/trig/scatter/S0.2m-0.4.png,,14,-0.72,0.32,0.32,26
0.2,-1,quad,0.1,data/Exp1/quad/scatter/S0.2m-0.1.png,,14,-0.2,0.1,0.1,27
0.1,-1,line,0.1,data/Exp1/line/scatter/S0.1m-0.1.png,,14,-0.17,0.07,0.07,28
0.15,-1,trig,0.8,data/Exp1/trig/scatter/S0.15m-0.8.png,,14,-0.84,0.04,0.04,29
0.2,1,trig,0.1,data/Exp1/trig/scatter/S0.2m0.1.png,,14,0.27,-0.17,0.17,30
0.1,1,quad,0.2,data/Exp1/quad/scatter/S0.1m0.2.png,,14,0.25,-0.05,0.05,32
0.1,1,line,0.1,data/Exp1/line/scatter/S0.1m0.1.png,,14,0.16,-0.06,0.06,31
0.05,-1,trig,0.4,data/Exp1/trig/scatter/S0.05m-0.4.png,,14,-0.42,0.02,0.02,33
0.05,1,quad,0.1,data/Exp1/quad/scatter/S0.05m0.1.png,,14,0.14,-0.04,0.04,34
0.1,-1,quad,0.1,data/Exp1/quad/scatter/S0.1m-0.1.png,,14,-0.13,0.03,0.03,36
0.2,1,line,0.2,data/Exp1/line/scatter/S0.2m0.2.png,,14,0.19,0.01,0.01,35
0.05,-1,line,0.2,data/Exp1/line/scatter/S0.05m-0.2.png,,14,-0.2,0,0,37
0.15,-1,trig,0.1,data/Exp1/trig/scatter/S0.15m-0.1.png,,14,-0.2,0.1,0.1,38
0.05,-1,trig,0.1,data/Exp1/trig/scatter/S0.05m-0.1.png,,14,-0.09,-0.01,0.01,39
0.2,1,line,0.4,data/Exp1/line/scatter/S0.2m0.4.png,,14,0.55,-0.15,0.15,40
0.15,1,trig,0.4,data/Exp1/trig/scatter/S0.15m0.4.png,,14,0.48,-0.08,0.08,41
0.1,1,quad,0.8,data/Exp1/quad/scatter/S0.1m0.8.png,,14,0.8,0,0,42
0.15,1,line,0.8,data/Exp1/line/scatter/S0.15m0.8.png,,14,0.82,-0.02,0.02,44
0.05,-1,trig,0.8,data/Exp1/trig/scatter/S0.05m-0.8.png,,14,-0.85,0.05,0.05,45
0.2,1,quad,0.8,data/Exp1/quad/scatter/S0.2m0.8.png,,14,0.74,0.06,0.06,43
0.05,-1,quad,0.8,data/Exp1/quad/scatter/S0.05m-0.8.png,,14,-0.75,-0.05,0.05,46
0.2,1,trig,0.4,data/Exp1/trig/scatter/S0.2m0.4.png,,14,0.53,-0.13,0.13,47
0.1,1,line,0.2,data/Exp1/line/scatter/S0.1m0.2.png,,14,0.23,-0.03,0.03,48
